nom répertoire photo|adresse site|Nom 1|Nom3|Nom 2|Nom latin|Nom latin2|Nom anglais|Ordre:famille|Fleur en groupe/Fleur isolée|Inflorescence|Fleur/sans fleur|Couleur de la fleur|Couleur 2|Aspect de la fleur|Particularité|Aspect réformé|Nombre de pétales, tépales ou lobes|Forme de la fleur Régulière/Irrégulière|Type de feuille|disposition des feuilles|Tige pubescente/glabre/épine|Feuille pubescente 1/ Feuille pubescente 2/Feuille glabre|FIN
Armerie_des_sables|http://abiris.snv.jussieu.fr/flore/descriptions/Armerie_des_sables.html|Armérie des sables||Armérie faux plantain|Armeria arenaria||Armeria arenaria|Plumbaginaceae|isolée|groupe|avec|rose||5 pétales||PSLE|5|régulière|simple entière|à la base|glabre|glabre|
Armoise_commune|http://abiris.snv.jussieu.fr/flore/descriptions/Armoise_commune.html|Armoise commune|Artémise|Armoise citronnelle|Artemisia vulgaris||mugwort|Asteraceae|épi|groupe|avec|jaune|vert|composée||CTL, CLOT|>10|irrégulière|divisée, composée|alternes|glabre|pubescente1|
Arum_Italie|http://abiris.snv.jussieu.fr/flore/descriptions/Arum_d_Italie.html|Arum d'Italie||Gouet d'Italie|Arum italicum|| Italian arum|Araceae|spadice|solitaire|avec|jaune|blanc|sans corolle|spathe|autre|0|irrégulière, régulière|simple entière|à la base|glabre|glabre|
Arum_tachete|http://abiris.snv.jussieu.fr/flore/descriptions/Arum_tachete.html|Arum tacheté||Gouet tacheté|Arum maculatum||wild arum|Araceae|spadice|solitaire|avec|marron|rose|sans corolle|spathe|autre|0|irrégulière, régulière|simple entière|à la base|glabre|glabre|
Asperge|http://abiris.snv.jussieu.fr/flore/descriptions/Asperge.html|Asperge||Asperge officinale|Asparagus officinalis||asparagus|Asparagaceae|isolée|solitaire|avec|vert|jaune|tube||PSER|6|régulière|simple entière|autre|glabre|glabre|
Aster_lanceole|http://abiris.snv.jussieu.fr/flore/descriptions/Aster_lanceole.html|Aster lancéolé||Aster à feuilles lancéolées|Aster lanceolatus||panicled aster|Asteraceae|grappe|groupe|avec|blanc|jaune|composée||CTL|>10|régulière|simple dentée|alternes|glabre|glabre|
Astragale_reglisse|http://abiris.snv.jussieu.fr/flore/descriptions/Astragale_a_feuilles_de_reglisse.html|Astragale à feuilles de réglisse|Astragale réglisse|Réglisse sauvage|Astragalus glycyphyllos||Liquorice milkvetch|Fabaceae|grappe|groupe|avec|blanc|vert|papillon|papillon|PSI|5|irrégulière|composée|alternes|glabre|pubescente1|
Ballote_noire|http://abiris.snv.jussieu.fr/flore/descriptions/Ballote_noire.html|Ballote noire|Ballote fétide|Marrube noire|Ballota nigra||black horehound|Lamiaceae|couronne|groupe|avec|rose|blanc|tube|tachetée|PSLI|5|irrégulière|simple dentée|opposées|pubescente|pubescente2|
Barbaree_commune|http://abiris.snv.jussieu.fr/flore/descriptions/Barbaree_commune.html|Barbarée commune||Herbe de Sainte Barbe|Barbarea vulgaris||bittercress|Brassicaceae|grappe|groupe|avec|jaune||PSER||PSER|4|régulière|divisée|alternes|glabre|glabre|
Barbaree_intermediaire|http://abiris.snv.jussieu.fr/flore/descriptions/Barbaree_intermediaire.html|Barbarée intermédiaire||Barbarée précoce|Barbarea intermedia||Medium-flowered Winter-cress|Brassicaceae|grappe|groupe|avec|jaune||PSER||PSER|4|régulière|divisée|alternes|glabre|glabre|
Barbaree_printaniere|http://abiris.snv.jussieu.fr/flore/descriptions/Barbaree_printaniere.html|Barbarée printanière|||Barbarea verna||American Winter-cress|Brassicaceae|grappe|groupe|avec|jaune||PSER||PSER|4|régulière|divisée|alternes|glabre|glabre|
Bardane_petite|http://abiris.snv.jussieu.fr/flore/descriptions/Bardane_a_petites_tetes.html|Bardane à petites têtes||Petite bardane|Arctium minus||lesser burdock|Asteraceae|grappe|groupe|avec|rose||composée||CLOT|>10|irrégulière, régulière|simple entière|alternes|pubescente|pubescente1|
Bardane_officinale|http://abiris.snv.jussieu.fr/flore/descriptions/Bardane_commune.html|Bardane commune|Bardane officinale|Grande bardane|Arctium lappa||greater burdock|Asteraceae|grappe|groupe|avec|rose||composée||CLOT|>10|irrégulière, régulière|simple entière|alternes|pubescente|pubescente1|
Benoite_urbaine
|http://abiris.snv.jussieu.fr/flore/descriptions/Benoite_urbaine.html|Benoîte urbaine|Herbe de Saint Benoît|Benoîte commune|Geum urbanum||wood avens|Rosaceae|isolée|solitaire|avec|jaune||5 pétales||PSER|5|régulière|composée|alternes|pubescente|pubescente1|
Berce_pres|http://abiris.snv.jussieu.fr/flore/descriptions/Berce_des_pres.html|Berce des prés|Grande berce|Berce commune|Heracleum sphondylium||hogweed|Apiaceae|ombelle|groupe|avec|blanc||5 pétales||PSER, PSI|5|régulière|composée|alternes|pubescente|pubescente2|
Bident_feuille|http://abiris.snv.jussieu.fr/flore/descriptions/Bident_feuille.html|Bident feuillé||Bident à fruits noirs|Bidens frondosa||devil's beggarticks|Asteraceae|cyme|groupe|avec|jaune||composée||CLOT|>10|irrégulière, régulière|composée|opposées|pubescente|glabre|
Bident_penche|http://abiris.snv.jussieu.fr/flore/descriptions/Bident_penche.html|Bident penché|||Bidens cernua||Nodding Bur-marigold|Asteraceae|cyme|groupe|avec|jaune||composée||CLOT|>10|irrégulière, régulière|simple dentée|opposées|pubescente|glabre, pubescente2|
Bident_rayonnant|http://abiris.snv.jussieu.fr/flore/descriptions/Bident_rayonnant.html|Bident rayonnant|||Bidens radiata||Bidens radiata|Asteraceae|cyme|groupe|avec|jaune||composée||CLOT|>10|irrégulière, régulière|divisée|opposées|glabre, pubescente|glabre, pubescente2|
